Step,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MIN,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MAX
524,0.575715899,0.575715899,0.575715899
525,0.337691545,0.337691545,0.337691545
526,0.601326227,0.601326227,0.601326227
527,0.63231802,0.63231802,0.63231802
528,0.591711998,0.591711998,0.591711998
529,0.101323701,0.101323701,0.101323701
530,0.512199402,0.512199402,0.512199402
531,0.308048218,0.308048218,0.308048218
532,0.588187873,0.588187873,0.588187873
533,0.343906522,0.343906522,0.343906522
534,0.541531444,0.541531444,0.541531444
535,0.542943239,0.542943239,0.542943239
536,0.832662702,0.832662702,0.832662702
537,0.54157114,0.54157114,0.54157114
538,0.288936287,0.288936287,0.288936287
540,0.217196167,0.217196167,0.217196167
541,0.295200109,0.295200109,0.295200109
542,0.289384812,0.289384812,0.289384812
543,0.31024909,0.31024909,0.31024909
544,0.296101451,0.296101451,0.296101451
545,0.042844452,0.042844452,0.042844452
546,0.535510182,0.535510182,0.535510182
547,0.543083727,0.543083727,0.543083727
548,0.561642945,0.561642945,0.561642945
549,0.034240369,0.034240369,0.034240369
550,0.546283245,0.546283245,0.546283245
551,0.53147912,0.53147912,0.53147912
552,0.577762246,0.577762246,0.577762246
553,0.528217971,0.528217971,0.528217971
554,0.513764322,0.513764322,0.513764322
555,0.311920315,0.311920315,0.311920315
557,0.271318257,0.271318257,0.271318257
560,0.806294084,0.806294084,0.806294084
561,0.767174959,0.767174959,0.767174959
562,0.03081584,0.03081584,0.03081584
563,0.279656917,0.279656917,0.279656917
564,0.440723151,0.440723151,0.440723151
567,0.527713358,0.527713358,0.527713358
568,0.43396014,0.43396014,0.43396014
569,0.289713323,0.289713323,0.289713323
570,0.058139425,0.058139425,0.058139425
571,0.304739565,0.304739565,0.304739565
572,0.281178296,0.281178296,0.281178296
573,0.769234598,0.769234598,0.769234598
574,0.428594768,0.428594768,0.428594768
575,0.456760228,0.456760228,0.456760228
576,0.557599187,0.557599187,0.557599187
577,0.378508121,0.378508121,0.378508121
578,0.277994663,0.277994663,0.277994663
579,0.183038786,0.183038786,0.183038786
580,0.05633612,0.05633612,0.05633612
581,0.567341983,0.567341983,0.567341983
582,0.285274297,0.285274297,0.285274297
584,0.038430892,0.038430892,0.038430892
585,0.029175766,0.029175766,0.029175766
586,0.332090706,0.332090706,0.332090706
587,0.043737303,0.043737303,0.043737303
588,0.276498616,0.276498616,0.276498616
589,0.070889115,0.070889115,0.070889115
590,0.053064011,0.053064011,0.053064011
591,0.068284407,0.068284407,0.068284407
592,0.295837522,0.295837522,0.295837522
594,0.274630189,0.274630189,0.274630189
595,0.521596134,0.521596134,0.521596134
596,0.280305982,0.280305982,0.280305982
597,0.266834617,0.266834617,0.266834617
598,0.044488691,0.044488691,0.044488691
599,0.407347977,0.407347977,0.407347977
600,0.27942732,0.27942732,0.27942732
602,0.06060908,0.06060908,0.06060908
603,0.294620931,0.294620931,0.294620931
604,0.037838787,0.037838787,0.037838787
605,0.024541425,0.024541425,0.024541425
606,0.022686603,0.022686603,0.022686603
607,0.550821602,0.550821602,0.550821602
608,0.764835954,0.764835954,0.764835954
609,0.265965432,0.265965432,0.265965432
611,0.040386237,0.040386237,0.040386237
612,0.058774821,0.058774821,0.058774821
613,0.766445398,0.766445398,0.766445398
614,0.526484013,0.526484013,0.526484013
615,0.78201741,0.78201741,0.78201741
